type,id,en_description,ur_description
Phrase,p8,Mantle cell lymphoma,مینٹل سیل لیمفوما  
Phrase,p9,Preoperative Chemoradiation Therapy,سرجری سے پہلے کی  کیمیائی ریڈی ایشن علاج  
Phrase,p10,recurrent rectal cancer,بار بار ہونے والا مستقیمی سرطان  
Phrase,p11,Burkitt-like/atypical Burkitt lymphoma,برکٹ جیسا/غیر معمولی برکٹ لیمفوما  
Phrase,p12,Metastatic Rectal Cancer,میٹاسٹیٹک مستقیمی سرطان  
Phrase,p13,Change in appetite,بھوک میں تبدیلی  
Phrase,p14,Genetic risk factors,جینیاتی خطرے کے عوامل  
Phrase,p15,First-line multiagent chemotherapy,پہلی لائن کثیر ادویہ  کیمیائی علاج  
Phrase,p16,A clinical trial,ایک کلینیکل ٹرائل  
Phrase,p17,Prone patient positioning,مریض کو پیٹ کے بل لٹانا  
Phrase,p18,Palliative radiation therapy,تسکینی ریڈی ایشن علاج  
Phrase,p19,Signet-ring cell carcinoma,سگنٹ-رنگ سیل کارسینوما  
Phrase,p20,Other risk factors,دیگر خطرے کے عوامل  
Phrase,p21,Rectal Cancer (PDQ®): Treatment,مستقیمی سرطان (PDQ®): علاج  
Phrase,p22,stage III rectal cancer,مرحلہ III مستقیمی سرطان  
Phrase,p23,stage I rectal cancer,مرحلہ I مستقیمی سرطان  
Phrase,p24,Hereditary mixed polyposis syndrome,خاندانی مخلوط پولیپوسس سنڈروم  
Phrase,p25,Stage II Rectal Cancer,مرحلہ II مستقیمی سرطان  
Phrase,p26,Clinical Presentation and Symptoms,کلینیکل پیشکش اور علامات  
Phrase,p27,Capecitabine with radiation therapy,کیپیسیٹابین کے ساتھ ریڈی ایشن علاج  
Phrase,p28,Systemic chemotherapy (see below),سسٹمک  کیمیائی علاج (نیچے ملاحظہ کریں)  
Phrase,p29,Locally Recurrent Rectal Cancer,مقامی طور پر بار بار ہونے والا مستقیمی سرطان  
Phrase,p30,Stage I Rectal Cancer,مرحلہ I مستقیمی سرطان  
Phrase,p31,Change in bowel habits,پاخانے کی عادات میں تبدیلی  
Phrase,p32,Clinical Evaluation and Staging,کلینیکل تشخیص اور مرحلہ بندی  
Phrase,p33,Arm C: intermittent fluoropyrimidine/oxaliplatin,آرم سی: انٹرمیٹنٹ فلوروپیریمڈین/آکسیلی پلاٹینم  
Phrase,p34,Cowden syndrome: PTEN gene,کاؤڈن سنڈروم: پی ٹی ای این جین  
Phrase,p35,stage IV rectal cancer,مرحلہ IV مستقیمی سرطان  
Phrase,p36,Low-grade glandular intraepithelial neoplasia,کم گریڈ غدودی انٹراایپی تھیلیئل نیوپلازیا  
Phrase,p37,Cetuximab/Panitumumab and Second-Line Chemotherapy,سیٹکسماب/پینیٹوموماب اور دوسری لائن  کیمیائی علاج  
Phrase,p38,Table 1. Primary Tumor,ٹیبل 1۔ پرائمری رسولی  
Phrase,p39,stage II rectal cancer,مرحلہ II مستقیمی سرطان  
Phrase,p40,stage 0 rectal cancer,مرحلہ 0 مستقیمی سرطان  
Phrase,p41,Genetics of Colorectal Cancer,قولون و مستقیمی سرطان کی جینیات  
Phrase,p42,High-grade glandular intraepithelial neoplasia,اعلیٰ گریڈ غدودی انٹراایپی تھیلیئل نیوپلازیا  
Phrase,p43,Stage 0 Rectal Cancer,مرحلہ 0 مستقیمی سرطان  
Phrase,p44,Ruvalcaba–Myhre–Smith syndrome: PTEN gene,روالکابا–مائیر–سمتھ سنڈروم: پی ٹی ای این جین  
Phrase,p45,Tumor invades muscularis propria,رسولی نے عضلہ پروپریا پر حملہ کیا  
Phrase,p46,Addition of radiation therapy,ریڈی ایشن علاج کا اضافہ  
Phrase,p47,Diffuse large B-cell lymphoma,ڈفیوز لارج بی سیل لیمفوما  
Phrase,p48,Stage III Rectal Cancer,مرحلہ III مستقیمی سرطان  
Phrase,p49,"Enterochromaffin (EC)-cell, serotonin-producing neoplasm","اینٹروکرومافن (EC) سیل، سیروٹونن بنانے والا نیوپلازما"  
Phrase,p50,Oxaliplatin with chemoradiation therapy,آکسیلی پلاٹینم کے ساتھ  کیمیائی ریڈی ایشن علاج  
Phrase,p51,General Information About Rectal Cancer,مستقیمی سرطان کے بارے میں عمومی معلومات  
Phrase,p52,Polypectomy for select T1 cancers,مخصوص T1 سرطان کے لیے پولپیکٹومی  
Phrase,p53,No regional lymph node metastasis,علاقائی لمف نوڈس کا میٹاسٹیسیز نہیں  
Phrase,p54,Clinical trials evaluating new drugs,نئی ادویات کا جائزہ لینے والے کلینیکل تجربہ  
Phrase,p55,Table 4. Anatomic Stage/Prognostic Groups,ٹیبل 4۔ اناٹومک مرحلہ/پیش گوئی گروپس  
Phrase,p56,Chemotherapy alone for local control,مقامی کنٹرول کے لیے صرف  کیمیائی علاج  
Phrase,p57,Stage Information for Rectal Cancer,مستقیمی سرطان کی مرحلہ وار معلومات  
Phrase,p58,German Rectal Cancer Study Group,جرمن مستقیمی سرطان اسٹڈی گروپ  
Phrase,p59,Local excision or simple polypectomy,مقامی استصال یا سادہ پولپیکٹومی  
Phrase,p60,Peutz-Jeghers syndrome: STK11 / LKB1 gene,پیوٹز جیگرز سنڈروم: ایس ٹی کے 11 / ایل کے بی 1 جین  
Phrase,p61,Turcot syndrome: APC gene; MMR genes,ٹرکوٹ سنڈروم: اے پی سی جین؛ ایم ایم آر جینز  
Phrase,p62,Metastases in 4–6 regional lymph nodes,4–6 علاقائی لمف نوڈس میں میٹاسٹیسیز  
Phrase,p63,Metastases in ≥7 regional lymph nodes,≥7 علاقائی لمف نوڈس میں میٹاسٹیسیز  
Phrase,p64,The use of high-energy radiation machines,اعلی توانائی تابکاری مشینوں کا استعمال  
Phrase,p65,Familial adenomatous polyposis (FAP): APC gene,خاندانی ایڈینومیٹس پولیپوسس (FAP): اے پی سی جین  
Phrase,p66,Metastases in 1–3 regional lymph nodes,1–3 علاقائی لمف نوڈس میں میٹاسٹیسیز  
Phrase,p67,Metastases in ≥4 regional lymph nodes,≥4 علاقائی لمف نوڈس میں میٹاسٹیسیز  
Phrase,p68,The use of multiple pelvic fields,کئی پیلوک فیلڈز کا استعمال  
Phrase,p69,"New cases: 40,340 (rectal cancer only)","نئے کیسز: 40,340 (صرف مستقیمی سرطان)"  
Phrase,p70,MAC is the modified Astler-Coller classification,ایم اے سی ترمیم شدہ اسٹلر کولر درجہ بندی ہے  
Phrase,p71,Metastasis in 1 regional lymph node,1 علاقائی لمف نوڈ میں میٹاسٹیسیز  
Phrase,p72,"Palliative, endoscopic-placed stents to relieve obstruction","تسکینی، رکاوٹ دور کرنے کے لیے اینڈوسکوپک اسٹینٹس"  
Phrase,p73,To detect new or metachronous malignancies,نئے یا میٹاکرونس میلگنینسیز کا پتہ لگانا  
Phrase,p74,Metastases in 2–3 regional lymph nodes,2–3 علاقائی لمف نوڈس میں میٹاسٹیسیز  
Phrase,p75,Perforation or obstruction of the bowel,آنتوں میں سوراخ یا رکاوٹ  
Phrase,p76,Presence or absence of distant metastases,دور میٹاسٹیسیز کی موجودگی یا غیر موجودگی  
Phrase,p77,Table 2. Regional Lymph Nodes (N),ٹیبل 2۔ علاقائی لمف نوڈس (این)  
Phrase,p78,Patients receiving panitumumab experienced improved OS,پینیٹوموماب لینے والے مریضوں میں کل بقا بہتر ہوئی  
Phrase,p79,Stage IV and Recurrent Rectal Cancer,مرحلہ IV اور بار بار ہونے والا مستقیمی سرطان  
Phrase,p80,Cellular Classification and Pathology of Rectal Cancer,مستقیمی سرطان کی سیلولر درجہ بندی اور پیتھالوجی  
Phrase,p81,Resection of isolated pulmonary or ovarian metastases,الگ تھلگ پھیپھڑوں یا بیضہ دانی کے میٹاسٹیسیز کی ریسکشن  
Phrase,p82,Hyperplastic polyposis syndrome: BRAF and KRAS2 genes,ہائپرپلاسٹک پولیپوسس سنڈروم: بی آر اے ایف اور کے آر اے ایس 2 جینز  
Phrase,p83,Adjuvant chemotherapy following chemoradiation therapy and surgery, کیمیائی ریڈی ایشن علاج اور سرجری کے بعد ایجوانٹ  کیمیائی علاج  
Phrase,p84,Adherence to or invasion of adjacent organs,قریبی اعضاء سے چپکاؤ یا حملہ  
Phrase,p85,Capecitabine plus weekly oxaliplatin with radiation therapy,کیپیسیٹابین کے ساتھ ہفتہ وار آکسیلی پلاٹینم اور ریڈی ایشن علاج  
Phrase,p86,To assess the efficacy of initial therapy,ابتدائی علاج کی کارکردگی کا جائزہ لینا  
Phrase,p87,"Deaths: 50,830 (colon and rectal cancers combined)","اموات: 50,830 (قولون اور مستقیمی سرطان ملا کر)"  
Phrase,p88,Attenuated familial adenomatous polyposis (AFAP): APC gene,کم شدت خاندانی ایڈینومیٹس پولیپوسس (AFAP): اے پی سی جین  
Phrase,p89,The Role of Oxaliplatin for Localized Disease,مقامی بیماری میں آکسیلی پلاٹینم کا کردار  
Phrase,p90,Metastases in >1 organ/site or the peritoneum,>1 عضو/مقام یا پیٹ کی جھلی میں میٹاسٹیسیز  
Phrase,p1,Infected drinking water,آلودہ پینے کا پانی  
Phrase,p2,Hepatitis C virus,جگر کی سوزش سی کا وائرس
Phrase,p3,Mode of Transmission,طریقہ انتقال  
Phrase,p4,Hepatitis B virus,جگر کی سوزش بی کا وائرس
Phrase,p5,Dominant Geographical Areas,غالب جغرافیائی علاقے  
Phrase,p6,No virus confirmed,کوئی وائرس تصدیق شدہ نہیں  
Phrase,p7,Full recovery (usually),مکمل صحتیابی (عام طور پر)  
Phrase,p8,Hepatic Virus Types,جگر کے وائرس کی اقسام  
Phrase,p9,To be determined,طے شدہ ہونا باقی  
Phrase,p10,Evidence of Benefit,فائدے کے شواہد  
Phrase,p11,Liver (Hepatocellular) Cancer Prevention,جگر (ہیپاٹوسیلولر) سرطان کی روک تھام  
Phrase,p12,Liver (Hepatocellular) Cancer Screening,جگر (ہیپاٹوسیلولر) سرطان کی اسکریننگ  
Phrase,p13,Hepatitis B and C,جگر کی سوزش بی اور سی کے وائرس
Phrase,p14,Prevention of Hepatitis B,جگر کی سوزش بی کی روک تھام
Phrase,p15,Cirrhosis and other factors,سروسس اور دیگر عوامل  
Phrase,p16,"Incidence (per 100000 population)",واقعات (فی 100000 آبادی)  
Phrase,p17,Adapted from Russo et al,روسو ایٹ ال سے ماخوذ  
Phrase,p18,Liver (Hepatocellular) Cancer (PDQ®): Prevention,جگر (ہیپاٹوسیلولر) سرطان (PDQ®): روک تھام  
Phrase,p19,"Body fluids, e.g., blood, semen","جسمانی رطوبتیں (مثلاً خون، منی)"  
Phrase,p20,Little or no association with cancer,کم یا کوئی سرطان کے ساتھ تعلق  
Phrase,p21,It is a sexually transmitted disease,یہ ایک جنسی طور پر منتقل ہونے والی بیماری ہے  
Phrase,p22,Table 3. Likely Etiology of Hepatocellular Carcinoma,ٹیبل 3۔ ہیپاٹوسیلولر کارسینوما کے ممکنہ اسباب  
Phrase,p23,Hepatitis B Vaccine to Prevent Hepatocellular Cancer,ہیپاٹائٹس بی ویکسین: ہیپاٹوسیلولر سرطان کی روک تھام  
Phrase,p24,Viruses Associated With Hepatitis and/or Hepatocellular Cancer,وائرسز: ہیپاٹائٹس اور/یا ہیپاٹوسیلولر سرطان کے ساتھ منسلک  
Phrase,p25,Hepatitis D causes swelling of the liver,ہیپاٹائٹس ڈی جگر کی سوجن کا سبب  
Phrase,p1,Evidence (laparoscopic techniques):,شواہد (لیپروسکوپک ٹیکنالوجیز):  
Phrase,p2,recurrent colon cancer,بار بار ہونے والا قولون سرطان  
Phrase,p3,Standard Treatment Options,معیاری علاج کے اختیارات  
Phrase,p4,Palliative radiation therapy,تسکینی ریڈی ایشن علاج  
Phrase,p5,Signet ring adenocarcinoma,سگنٹ رنگ ایڈینوکارسینوما  
Phrase,p6,stage IV colon cancer,مرحلہ IV قولون سرطان  
Phrase,p7,Inadequate lymph node sampling,لمف نوڈس کا ناکافی نمونہ  
Phrase,p8,stage 0 colon cancer,مرحلہ 0 قولون سرطان  
Phrase,p9,A poorly differentiated histology,ناکافی تفریق شدہ ہسٹالوجی  
Phrase,p10,Stage 0 colon cancer,مرحلہ 0 قولون سرطان  
Phrase,p11,Chemotherapy regimens after 2000,2000 کے بعد کے  کیمیائی علاج طریقہ علاج  
Phrase,p12,Stage II Colon Cancer,مرحلہ II قولون سرطان  
Phrase,p13,stage II colon cancer,مرحلہ II قولون سرطان  
Phrase,p14,stage I colon cancer,مرحلہ I قولون سرطان  
Phrase,p15,Treatment options by stage,مرحلے کے لحاظ سے علاج کے اختیارات  
Phrase,p16,Stage III colon cancer,مرحلہ III قولون سرطان  
Phrase,p17,Stage IV colon cancer,مرحلہ IV قولون سرطان  
Phrase,p18,stage III colon cancer,مرحلہ III قولون سرطان  
Phrase,p19,Colon Cancer (PDQ®): Treatment,قولون سرطان (PDQ®): علاج  
Phrase,p20,Treatment of Liver Metastasis,جگر کی میٹاسٹیسیز کا علاج  
Phrase,p21,Stage I Colon Cancer,مرحلہ I قولون سرطان  
Phrase,p22,Adenocarcinoma (most colon cancers),ایڈینوکارسینوما (زیادہ تر قولون سرطان)  
Phrase,p23,Stage III Colon Cancer,مرحلہ III قولون سرطان  
Phrase,p24,Stage 0 Colon Cancer,مرحلہ 0 قولون سرطان  
Phrase,p25,Chemotherapy and targeted therapy, کیمیائی علاج اور ہدف شدہ علاج  
Phrase,p26,Stage 0 Colon Cancer Treatment,مرحلہ 0 قولون سرطان کا علاج  
Phrase,p27,Stage Information for Colon Cancer,قولون سرطان کی مرحلہ وار معلومات  
Phrase,p28,T1 = Tumor invades submucosa,T1 = رسولی نے سب میوکوسا پر حملہ کیا  
Phrase,p29,Cellular Classification of Colon Cancer,قولون سرطان کی سیلولر درجہ بندی  
Phrase,p30,Chemotherapy regimens prior to 2000,2000 سے پہلے کے  کیمیائی علاج طریقہ علاج  
Phrase,p31,Stage II Colon Cancer Treatment,مرحلہ II قولون سرطان کا علاج  
Phrase,p32,These groups include the following:,ان گروپس میں مندرجہ ذیل شامل ہیں:  
Phrase,p33,Wide surgical resection and anastomosis,وسیع سرجیکل ریسکشن اور انسٹاموسس  
Phrase,p34,Involvement of the visceral peritoneum,حشوی پیٹ کی جھلی کی ملوثیت  
Phrase,p35,Stage III Colon Cancer Treatment,مرحلہ III قولون سرطان کا علاج  
Phrase,p36,Treatment Options Under Clinical Evaluation,کلینیکل تشخیص میں زیرِ غور علاج کے اختیارات  
Phrase,p37,"Any T, Any N, M1b","کوئی بھی T، کوئی بھی N، M1b"  
Phrase,p38,Treatment options for recurrent cancer,بار بار ہونے والے سرطان کے لیے علاج کے اختیارات  
Phrase,p39,Stage I Colon Cancer Treatment,مرحلہ I قولون سرطان کا علاج  
Phrase,p40,M0 = No distant metastasis,M0 = دور میٹاسٹیسیز نہیں  
Phrase,p41,General Information About Colon Cancer,قولون سرطان کے بارے میں عمومی معلومات  
Phrase,p42,"Any T, Any N, M1a","کوئی بھی T، کوئی بھی N، M1a"  
Phrase,p43,Evidence (5-FU alone and 5-FU-semustine):,شواہد (5-ایف یو اکیلے اور 5-ایف یو-سیموسٹین):  
Phrase,p44,Treatment Option Overview for Colon Cancer,قولون سرطان کے علاج کے اختیارات کا جائزہ  
Phrase,p45,T2 = Tumor invades muscularis propria,T2 = رسولی نے عضلہ پروپریا پر حملہ کیا  
Phrase,p46,"New cases: 102480 (colon cancer only)","نئے کیسز: 102480 (صرف قولون سرطان)"  
Phrase,p47,AJCC Stage Groupings and TNM Definitions,AJCC مرحلہ گروپس اور TNM تعریفات  
Phrase,p48,Added Aflibercept as a new subsection,نیا ذیلی عنوان: افلیبرسیپٹ کا اضافہ  
Phrase,p49,Surgical resection of locally recurrent cancer,مقامی طور پر بار بار ہونے والے سرطان کی سرجیکل ریسکشن  
Phrase,p50,Other prognostic factors include the following:,دیگر پیش گوئی کے عوامل میں مندرجہ ذیل شامل ہیں:  
Phrase,p51,MAC is the modified Astler-Coller classification,MAC ترمیم شدہ اسٹلر-کولر درجہ بندی ہے  
Phrase,p52,Stage IV and Recurrent Colon Cancer Treatment,مرحلہ IV اور بار بار ہونے والے قولون سرطان کا علاج  
Phrase,p53,Table 4. Definitions of TNM Stage III,ٹیبل 4۔ ٹی این ایم مرحلہ III کی تعریفات  
Phrase,p54,T0 = No evidence of primary tumor,T0 = پرائمری رسولی کا کوئی ثبوت نہیں  
Phrase,p55,Table 1. Definitions of TNM Stage 0,ٹیبل 1۔ ٹی این ایم مرحلہ 0 کی تعریفات  
Phrase,p56,Table 3. Definitions of TNM Stage II,ٹیبل 3۔ ٹی این ایم مرحلہ II کی تعریفات  
Phrase,p57,Levamisole alone did not confer these benefits,لیوامیسول اکیلے نے یہ فوائد نہیں دیے  
Phrase,p58,"Deaths: 50830 (colon and rectal cancers combined)","اموات: 50830 (قولون اور مستقیمی سرطان ملا کر)"  
Phrase,p59,The presence or absence of nodal involvement,لمف نوڈس کی ملوثیت کی موجودگی یا عدم موجودگی  
Phrase,p60,N0 = No regional lymph node metastasis,N0 = علاقائی لمف نوڈ میٹاسٹیسیز نہیں  
Phrase,p61,Table 5. Definitions of TNM Stage IV,ٹیبل 5۔ ٹی این ایم مرحلہ IV کی تعریفات  
Phrase,p62,TX = Primary tumor cannot be assessed,TX = پرائمری رسولی کا جائزہ نہیں لیا جا سکتا  
Phrase,p63,Table 2. Definitions of TNM Stage I,ٹیبل 2۔ ٹی این ایم مرحلہ I کی تعریفات  
Phrase,p64,Added Third-line chemotherapy as a new subsection,نیا ذیلی عنوان: تھرڈ لائن  کیمیائی علاج کا اضافہ  
Phrase,p65,The presence or absence of distant metastases,دور میٹاسٹیسیز کی موجودگی یا عدم موجودگی  
Phrase,p1,Esophageal Cancer Screening,غذائی نالی کے سرطان کی اسکریننگ  
Phrase,p2,Evidence of Harm,نقصان کے شواہد  
Phrase,p3,Squamous Cell Cancer,سکوامس سیل سرطان  
Phrase,p4,Esophageal Cancer (PDQ®): Screening,غذائی نالی کا سرطان (PDQ®): اسکریننگ  
Phrase,p5,Internal Validity : Fair,داخلی توثیق: معتدل  
Phrase,p6,Consistency : Multiple studies,استحکام: متعدد مطالعہ  
Phrase,p7,External Validity : Poor,خارجی توثیق: کم  
Phrase,p8,"Natural History, Incidence, and Mortality","طبی تاریخ، واقعات، اور اموات"  
Phrase,p9,The epidemiology of these types varies markedly,ان اقسام کی ایپیڈیمولوجی نمایاں طور پر مختلف ہے  
Phrase,p1,"New cases: 2240","نئے کیسز: 2240"  
Phrase,p2,male breast cancer,مردوں کے چھاتی کا سرطان  
Phrase,p3,Initial Surgical Management,ابتدائی سرجیکل انتظام  
Phrase,p4,Locally Recurrent Disease,مقامی طور پر بار بار ہونے والی بیماری  
Phrase,p5,Trastuzumab (under clinical evaluation),ٹراسٹوزوماب (کلینیکل تشخیص میں)  
Phrase,p6,Sexuality and Reproductive Issues,جنسیت اور تولیدی مسائل  
Phrase,p7,Sweats and Hot Flashes,پسینہ اور گرم چمک  
Phrase,p8,Tamoxifen (under clinical evaluation),ٹاموکسفین (کلینیکل تشخیص میں)  
Phrase,p9,Male Breast Cancer (PDQ®): Treatment,مردوں کے چھاتی کے سرطان (PDQ®): علاج  
Phrase,p10,Tamoxifen for estrogen receptor–positive patients,ایسٹروجن ریسیپٹر-پازیٹو مریضوں کے لیے ٹاموکسفین  
Phrase,p11,"Initially, hormonal therapy is recommended","ابتدائی طور پر ہارمونل علاج کی سفارش کی جاتی ہے"  
Phrase,p12,Male breast cancer is rare,مردوں کے چھاتی کا سرطان نایاب ہے  
Phrase,p13,CAF: cyclophosphamide plus doxorubicin plus fluorouracil,CAF: سائیکلوفاسفامائیڈ + ڈوکسوروبیسن + فلوروراسل  
Phrase,p14,CMF: cyclophosphamide plus methotrexate plus fluorouracil,CMF: سائیکلوفاسفامائیڈ + میتھوٹریکسٹیٹ + فلوروراسل  
Phrase,p15,General Information About Male Breast Cancer,مردوں کے چھاتی کے سرطان کے بارے میں عمومی معلومات  
Phrase,p16,Hormonal therapies may be used sequentially,ہارمونل علاجات کو ترتیب سے استعمال کیا جا سکتا ہے  
Phrase,p17,Treatment Options for Male Breast Cancer,مردوں کے چھاتی کے سرطان کے لیے علاج کے اختیارات  
Phrase,p18,Intraductal cancer has been described as well,انٹرادکٹل سرطان بھی بیان کیا گیا ہے  
Phrase,p1,Nausea and Vomiting,متلی اور الٹی  
Phrase,p2,Benefit of chemotherapy, کیمیائی علاج کے فوائد  
Phrase,p3,Docetaxel and capecitabine,ڈوکیٹیکسل اور کیپیسیٹابین  
Phrase,p4,Adjuvant Systemic Therapy,ایجوانٹ سسٹمک علاج  
Phrase,p5,Sentinel node biopsy,سینٹینل نوڈ بائیوپسی  
Phrase,p6,Docetaxel plus trastuzumab,ڈوکیٹیکسل پلس ٹراسٹوزوماب  
Phrase,p7,Treatment Option Overview,علاج کے اختیارات کا جائزہ  
Phrase,p8,Lapatinib plus paclitaxel,لیپٹینب پلس پاکلیٹیکسل  
Phrase,p9,Diagnostics and Survival,تشخیص اور بقا  
Phrase,p10,Pertuzumab plus trastuzumab,پرٹوزوماب پلس ٹراسٹوزوماب  
Phrase,p11,"New cases: 235030","نئے کیسز: 235030"  
Phrase,p12,None or tamoxifen,کوئی نہیں یا ٹاموکسفین  
Phrase,p13,Triple-Negative Breast Cancer,ٹرپل نیگیٹو چھاتی کا سرطان  
Phrase,p14,Preoperative neoadjuvant chemotherapy,سرجری سے پہلے کی نیوایڈجوینٹ  کیمیائی علاج  
Phrase,p15,Postoperative adjuvant chemotherapy,سرجری کے بعد کی ایجوانٹ  کیمیائی علاج  
Phrase,p16,Post-breast conservation surgery,چھاتی کے تحفظ کی سرجری کے بعد  
Phrase,p17,Vinorelbine and epirubicin,وینوریلبین اور ایپیروبیسن  
Phrase,p18,triple-negative breast cancer,ٹرپل نیگیٹو چھاتی کا سرطان  
Phrase,p19,Capecitabine and ixabepilone,کیپیسیٹابین اور ایکسابیپیلون  
Phrase,p20,Tamoxifen toxic effects,ٹاموکسفین کے زہریلے اثرات  
Phrase,p21,Docetaxel plus pertuzumab,ڈوکیٹیکسل پلس پرٹوزوماب  
Phrase,p22,recurrent breast cancer,بار بار ہونے والا چھاتی کا سرطان  
Phrase,p23,–M0 includes M0(i+),–M0 میں M0(i+) شامل ہے  
Phrase,p24,inflammatory breast cancer,سوزش والا چھاتی کا سرطان  
Phrase,p25,Tamoxifen and chemotherapy,ٹاموکسفین اور  کیمیائی علاج  
Phrase,p26,Lapatinib plus capecitabine,لیپٹینب پلس کیپیسیٹابین  
Phrase,p27,Docetaxel and doxorubicin,ڈوکیٹیکسل اور ڈوکسوروبیسن  
Phrase,p28,Doxorubicin and paclitaxel,ڈوکسوروبیسن اور پاکلیٹیکسل  
Phrase,p29,Timing of surgery,سرجری کا وقت  
Phrase,p30,Incidence and Mortality,واقعات اور اموات  
Phrase,p31,Lapatinib plus trastuzumab,لیپٹینب پلس ٹراسٹوزوماب  
Phrase,p32,Overview of Chemotherapy, کیمیائی علاج کا جائزہ  
Phrase,p33,Hormone Replacement Therapy,ہارمون ریپلیسمنٹ علاج  
Phrase,p34,T1 includes T1mi,T1 میں T1mi شامل ہے  
Phrase,p35,Docetaxel and cyclophosphamide,ڈوکیٹیکسل اور سائیکلوفاسفامائیڈ  
Phrase,p36,Positive axillary nodes,مثبت بغلی لمف نوڈس  
Phrase,p37,"CMF: cyclophosphamide, methotrexate, 5-fluorouracil","CMF: سائیکلوفاسفامائیڈ، میتھوٹریکسٹیٹ، 5-فلوروراسل"  
Phrase,p38,Large tumors (T2 lesions),بڑے رسولیز (T2 لیژنز)  
Phrase,p39,"Premenopausal, ER-negative or PR-negative","پری مینوپازل، ای آر-نیگیٹو یا پی آر-نیگیٹو"  
Phrase,p40,stage IV breast cancer,مرحلہ IV چھاتی کا سرطان  
Phrase,p41,Results have been inconsistent,نتائج غیر مسلسل رہے ہیں  
Phrase,p42,Adult Hodgkin Lymphoma Treatment,بالغ ہاڈگکن لیمفوما کا علاج  
Phrase,p43,Axillary lymph node surgery,بغلی لمف نوڈ کی سرجری  
Phrase,p44,Ductal Carcinoma In Situ,ڈکٹل کارسینوما ان سیچو  
Phrase,p45,HER2/neu receptor status testing,HER2/neu ریسیپٹر حالت کی جانچ  
Phrase,p46,stage II breast cancer,مرحلہ II چھاتی کا سرطان  
Phrase,p47,"Postmenopausal, ER-negative or PR-negative","پوسٹ مینوپازل، ای آر-نیگیٹو یا پی آر-نیگیٹو"  
Phrase,p48,Observation after diagnostic biopsy,تشخیصی بائیوپسی کے بعد مشاہدہ  
Phrase,p49,Sexuality and Reproductive Issues,جنسیت اور تولیدی مسائل  
Phrase,p50,stage I breast cancer,مرحلہ I چھاتی کا سرطان  
Phrase,p51,"CAF: cyclophosphamide, doxorubicin, 5-fluorouracil","CAF: سائیکلوفاسفامائیڈ، ڈوکسوروبیسن، 5-فلوروراسل"  
Phrase,p52,Posttreatment yp M classification,پوسٹ ٹریٹمنٹ وائی پی ایم درجہ بندی  
Phrase,p53,ER or PR status,ای آر یا پی آر کی حالت  
Phrase,p54,stage IIIB breast cancer,مرحلہ IIIB چھاتی کا سرطان  
Phrase,p55,stage IIIC breast cancer,مرحلہ IIIC چھاتی کا سرطان  
Phrase,p56,Lobular Carcinoma In Situ,لوبیولر کارسینوما ان سیچو  
Phrase,p57,Prognostic and Predictive Factors,پیش گوئی اور پیشین گوئی کے عوامل  
Phrase,p58,Level of evidence: 1iiA,شواہد کی سطح: 1iiA  
Phrase,p59,BRCA1 and BRCA1 mutations,BRCA1 اور BRCA1 میوٹیشنز  
Phrase,p60,Recurrent local-regional breast cancer,بار بار ہونے والا مقامی-علاقائی چھاتی کا سرطان  
Phrase,p61,Breast Cancer (PDQ®): Treatment,چھاتی کا سرطان (PDQ®): علاج  
Phrase,p62,stage IIIA breast cancer,مرحلہ IIIA چھاتی کا سرطان  
Phrase,p63,Adjuvant radiation and chemotherapy,ایجوانٹ ریڈی ایشن اور  کیمیائی علاج  
Phrase,p64,CA: cyclophosphamide and doxorubicin,CA: سائیکلوفاسفامائیڈ اور ڈوکسوروبیسن  
Phrase,p65,Cardiac mortality decreased accordingly,دل کی اموات اسی کے مطابق کم ہوئیں  
Phrase,p66,Sweats and Hot Flashes,پسینہ اور گرم چمک  
Phrase,p67,Both T4a and T4b,دونوں T4a اور T4b  
Phrase,p68,"Premenopausal, ER-positive or PR-positive","پری مینوپازل، ای آر-پازیٹو یا پی آر-پازیٹو"  
Phrase,p69,"Stroke RR, 1.06 (0.83–1.36)","سٹروک RR, 1.06 (0.83–1.36)"  
Phrase,p70,Chemotherapy and tamoxifen risks, کیمیائی علاج اور ٹاموکسفین کے خطرات  
Phrase,p71,Level of evidence: 1iDii,شواہد کی سطح: 1iDii  
Phrase,p72,"Postmenopausal, ER-positive or PR-positive","پوسٹ مینوپازل، ای آر-پازیٹو یا پی آر-پازیٹو"  
Phrase,p73,ductal breast carcinoma in situ,چھاتی کا ڈکٹل کارسینوما ان سیچو  
Phrase,p74,Results are expected in 2016,2016 میں نتائج متوقع ہیں  
Phrase,p75,General Information About Breast Cancer,چھاتی کے سرطان کے بارے میں عمومی معلومات  
Phrase,p76,Stage Information for Breast Cancer,چھاتی کے سرطان کی مرحلہ وار معلومات  
Phrase,p77,Cellular Classification of Breast Cancer,چھاتی کے سرطان کی سیلولر درجہ بندی  
Phrase,p78,Adult Soft Tissue Sarcoma Treatment,بالغوں کے نرم ٹشو سارکوما کا علاج  
Phrase,p79,Genetic Characteristics and Risk Factors,جینیاتی خصوصیات اور خطرے کے عوامل  
Phrase,p80,Stage IV and metastatic disease,مرحلہ IV اور میٹاسٹیٹک بیماری  
Phrase,p81,"Carcinoma, NOS (not otherwise specified)",کارسینوما، این او ایس (غیر متعین)  
